사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022072600100440,2022년 7월 26일 17시,화요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,이륜,남,40세,경상
2022072600100480,2022년 7월 26일 18시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,28세,경상
2022072600100483,2022년 7월 26일 18시,화요일,경기도 용인시 수지구 상현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,경상,승용,여,29세,상해없음
2022072600100511,2022년 7월 26일 19시,화요일,경기도 수원시 팔달구 우만동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,79세,상해없음,승용,여,47세,경상
2022072600100518,2022년 7월 26일 19시,화요일,경기도 수원시 팔달구 매산로3가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,39세,경상
2022072600100542,2022년 7월 26일 20시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,37세,상해없음,보행자,여,21세,경상
2022072600100543,2022년 7월 26일 20시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,여,56세,경상
2022072600100574,2022년 7월 26일 21시,화요일,경기도 용인시 수지구 상현동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승합,여,49세,상해없음,승용,남,30세,경상
2022072700100012,2022년 7월 27일 01시,수요일,경기도 수원시 권선구 권선동,부상신고사고,0,0,0,2,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,33세,부상신고
2022072700100069,2022년 7월 27일 08시,수요일,경기도 수원시 권선구 곡반정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,자전거,남,38세,경상
2022072700100107,2022년 7월 27일 09시,수요일,경기도 수원시 팔달구 중동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,승용,남,63세,경상
2022072700100233,2022년 7월 27일 13시,수요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,23세,상해없음,승용,여,47세,경상
2022072700100272,2022년 7월 27일 14시,수요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,62세,상해없음,이륜,남,34세,경상
2022072700100299,2022년 7월 27일 15시,수요일,경기도 수원시 장안구 연무동,경상사고,0,0,3,1,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,33세,상해없음,승합,남,57세,상해없음
2022072700100306,2022년 7월 27일 15시,수요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,흐림,교차로 - 교차로안,승용,여,36세,상해없음,승용,여,52세,경상
2022072700100422,2022년 7월 27일 18시,수요일,경기도 수원시 장안구 조원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,이륜,남,32세,경상
2022072700100504,2022년 7월 27일 20시,수요일,경기도 수원시 영통구 이의동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,39세,경상,승용,여,29세,경상
2022072700100526,2022년 7월 27일 21시,수요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,여,50세,경상
2022072800100035,2022년 7월 28일 04시,목요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,흐림,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,62세,상해없음
2022072800100070,2022년 7월 28일 07시,목요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,74세,상해없음,승합,남,47세,경상
2022072800100071,2022년 7월 28일 07시,목요일,경기도 용인시 수지구 성복동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,승용,남,32세,경상
2022072800100134,2022년 7월 28일 09시,목요일,경기도 수원시 영통구 매탄동,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,47세,경상
2022072800100156,2022년 7월 28일 10시,목요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,53세,상해없음,승용,남,49세,경상
2022072800100223,2022년 7월 28일 12시,목요일,경기도 수원시 팔달구 우만동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,원동기,여,51세,부상신고,화물,남,47세,상해없음
2022072800100374,2022년 7월 28일 16시,목요일,경기도 수원시 영통구 이의동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,승용,여,50세,경상
2022072800100541,2022년 7월 28일 20시,목요일,경기도 수원시 팔달구 화서동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세,상해없음,보행자,여,51세,중상
2022072800100543,2022년 7월 28일 20시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,18세,상해없음,보행자,남,49세,경상
2022072800100594,2022년 7월 28일 22시,목요일,경기도 수원시 영통구 하동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,보행자,여,25세,부상신고
2022072900100008,2022년 7월 29일 00시,금요일,경기도 수원시 영통구 이의동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,41세,경상
2022072900100009,2022년 7월 29일 00시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,3,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,승용,여,48세,중상
2022072900100156,2022년 7월 29일 10시,금요일,경기도 수원시 영통구 영통동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,화물,남,37세,상해없음,승용,남,48세,경상
2022072900100188,2022년 7월 29일 11시,금요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,44세,상해없음,보행자,여,25세,경상
2022072900100231,2022년 7월 29일 12시,금요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,52세,상해없음,승용,남,46세,경상
2022072900100236,2022년 7월 29일 12시,금요일,경기도 수원시 영통구 하동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,26세,상해없음,승용,여,34세,경상
2022072900100315,2022년 7월 29일 14시,금요일,경기도 수원시 팔달구 매교동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,승용,남,23세,경상
2022072900100350,2022년 7월 29일 15시,금요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,29세,기타불명,이륜,남,42세,중상
2022072900100510,2022년 7월 29일 19시,금요일,경기도 수원시 팔달구 화서동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승합,남,47세,상해없음
2022072900100549,2022년 7월 29일 20시,금요일,경기도 수원시 영통구 원천동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,이륜,남,44세,경상
2022072900100550,2022년 7월 29일 20시,금요일,경기도 수원시 권선구 곡반정동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,44세,경상,이륜,남,22세,경상
2022072900100580,2022년 7월 29일 21시,금요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,보행자,남,65세,경상
2022072900100609,2022년 7월 29일 22시,금요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,80세,상해없음,보행자,여,23세,경상
2022073000100004,2022년 7월 30일 00시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,47세,상해없음,승용,남,54세,경상
2022073000100022,2022년 7월 30일 01시,토요일,경기도 수원시 팔달구 인계동,사망사고,1,0,0,0,차대사람 - 횡단중,기타,건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,남,62세,사망
2022073000100209,2022년 7월 30일 12시,토요일,경기도 용인시 수지구 상현동,부상신고사고,0,0,0,1,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,79세,부상신고
2022073000100241,2022년 7월 30일 13시,토요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,68세,경상
2022073000100287,2022년 7월 30일 14시,토요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,이륜,남,26세,경상
2022073000100357,2022년 7월 30일 16시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,이륜,남,26세,경상,승용,남,57세,상해없음
2022073000100450,2022년 7월 30일 19시,토요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,자전거,남,26세,경상
2022073000100538,2022년 7월 30일 22시,토요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,이륜,남,41세,경상
2022073100100035,2022년 7월 31일 02시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,53세,경상
2022073100100036,2022년 7월 31일 02시,일요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,62세,상해없음
2022073100100110,2022년 7월 31일 11시,일요일,경기도 수원시 영통구 원천동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,젖음/습기,흐림,교차로 - 교차로부근,승합,남,48세,상해없음,승용,남,56세,경상
2022073100100142,2022년 7월 31일 12시,일요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,승합,남,48세,상해없음,승용,남,45세,경상
2022073100100299,2022년 7월 31일 17시,일요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,젖음/습기,비,교차로 - 교차로부근,승용,여,44세,상해없음,이륜,남,69세,중상
2022073100100404,2022년 7월 31일 21시,일요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로안,승합,남,54세,상해없음,보행자,남,14세,경상
2022073100100454,2022년 7월 31일 23시,일요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,31세,기타불명,특수,남,26세,경상
2022080100100003,2022년 8월 1일 00시,월요일,경기도 수원시 권선구 세류동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,32세,상해없음,보행자,여,72세,사망
2022080100100035,2022년 8월 1일 05시,월요일,경기도 수원시 권선구 권선동,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 지하차도(도로)내,승용,여,58세,중상,승용,여,67세,중상
2022080100100145,2022년 8월 1일 11시,월요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,3,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,51세,상해없음,,,,
2022080100100151,2022년 8월 1일 11시,월요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,34세,상해없음,승용,남,70세,경상
2022080100100289,2022년 8월 1일 15시,월요일,경기도 수원시 영통구 원천동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,이륜,남,18세,부상신고
2022080100100305,2022년 8월 1일 16시,월요일,경기도 수원시 영통구 망포동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,72세,상해없음,승합,기타불명,미분류,기타불명
2022080100100339,2022년 8월 1일 17시,월요일,경기도 수원시 영통구 하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,이륜,남,47세,상해없음
2022080100100441,2022년 8월 1일 20시,월요일,경기도 수원시 영통구 영통동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,흐림,교차로 - 교차로부근,승용,남,71세,상해없음,자전거,여,8세,중상
